"TIME","GEO","UNIT","NACE_R2","NA_ITEM","Value","Flag and Footnotes"
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","1.625.906,4",""
"2009","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","304.590,0",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","8.377.579,8",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","129.865,2",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","1.543.788,5",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","1.265.258,8",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","512.624,9",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","1.601.749,9",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","390.124,2",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","439.996,8",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","940.284,1",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","878.092,3",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","1.635.220,4",""
"2009","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","305.833,3",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","8.212.519,5",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","125.788,3",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","1.510.536,1",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","1.239.989,2",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","498.990,4",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","1.564.136,2",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","382.771,8",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","432.854,6",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","924.747,6",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","864.731,4",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","1.607.387,5",""
"2009","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","300.575,4",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","309.511,7",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","2.235,7",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","53.819,1",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","44.757,5",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","17.554,4",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","63.993,3",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","13.460,5",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","17.625,9",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","26.354,6",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","40.634,7",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","67.509,5",""
"2009","Belgien","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","6.324,0",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","32.478,3",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","1.584,9",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","6.797,0",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","4.782,9",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","3.107,5",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","6.555,5",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","1.741,6",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","1.931,1",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","3.729,9",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","1.847,6",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","4.266,4",""
"2009","Bulgarien","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","916,8",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","134.448,6",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","2.441,8",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","40.385,4",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","30.733,6",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","9.046,8",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","24.450,0",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","7.145,9",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","6.011,7",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","12.161,4",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","9.222,2",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","20.494,9",""
"2009","Tschechien","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","3.088,4",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","199.422,6",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","1.927,9",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","35.907,1",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","25.683,6",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","10.233,3",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","37.202,5",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","9.746,3",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","12.503,3",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","19.566,7",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","16.592,3",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","48.632,7",""
"2009","Dänemark","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","7.110,5",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","2.192.834,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","17.006,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","513.651,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","432.487,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","91.320,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","368.530,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","101.750,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","112.160,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","260.505,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","235.498,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","398.262,0",""
"2009","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","94.152,0",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","12.345,6",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","349,2",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","2.448,5",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","1.736,8",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","869,0",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","2.636,5",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","680,3",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","560,2",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","1.267,0",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","1.077,6",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","2.158,1",""
"2009","Estland","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","299,2",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","152.176,8",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Land- und Forstwirtschaft, Fischerei","Bruttowertschöpfung","942,4",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Industrie (ohne Baugewerbe)","Bruttowertschöpfung","39.224,9",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Verarbeitendes Gewerbe/Herstellung von Waren","Bruttowertschöpfung","34.544,6",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Baugewerbe/Bau","Bruttowertschöpfung","4.110,9",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Handel, Instandhaltung, Verkehr, Gastgewerbe/Beherbergung und Gastronomie","Bruttowertschöpfung","24.492,7",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Information und Kommunikation","Bruttowertschöpfung","12.740,1",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Erbringung von Finanz- und Versicherungsdienstleistungen","Bruttowertschöpfung","16.036,6",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Grundstücks- und Wohnungswesen","Bruttowertschöpfung","8.551,2",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Erbringung von freiberuflichen, wissenschaftlichen und technischen Dienstleistungen, Erbringung von sonstigen wirtschaftlichen Dienstleistungen","Bruttowertschöpfung","13.069,7",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Öffentliche Verwaltung, Verteidigung, Erziehung und Unterricht, Gesundheits- und Sozialwesen","Bruttowertschöpfung","29.423,9",""
"2009","Irland","Jeweilige Preise, Millionen Euro","Kunst, Unterhaltung und Erholung; Erbringung von sonstigen Dienstleistungen; Private Haushalte, exterritoriale Organisationen und Körperschaften","Bruttowertschöpfung","3.584,4",""
"2009","Griechenland","Jeweilige Preise, Millionen Euro","Insgesamt - alle NACE-Wirtschaftszweige","Bruttowertschöpfung","212.390,9",""
