"TIME","GEO","UNIT","NA_ITEM","Value","Flag and Footnotes"
"2010","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.474.062,8",""
"2010","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.534.698,9",""
"2010","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.343.596,5",""
"2010","Belgien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","363.140,1",""
"2010","Bulgarien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","38.044,1",""
"2010","Tschechien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","156.718,2",""
"2010","Dänemark","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","243.165,4",""
"2010","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.564.400,0",""
"2010","Estland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","14.863,1",""
"2010","Irland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","167.732,3",""
"2010","Griechenland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","226.031,4",""
"2010","Spanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.072.709,0",""
"2010","Frankreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.995.289,0",""
"2010","Kroatien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","45.111,8",""
"2010","Italien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.611.279,4",""
"2010","Zypern","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","19.410,0",""
"2010","Lettland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","17.817,7",""
"2010","Litauen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","27.955,3","b"
"2010","Luxemburg","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","40.177,8",""
"2010","Ungarn","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","98.986,8",""
"2010","Malta","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","6.599,5",""
"2010","Niederlande","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","639.187,0",""
"2010","Österreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","295.896,6",""
"2010","Polen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","361.803,9",""
"2010","Portugal","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","179.610,8",""
"2010","Rumänien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","125.408,8",""
"2010","Slowenien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","36.363,9",""
"2010","Slowakei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","68.093,0",""
"2010","Finnland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","188.143,0",""
"2010","Schweden","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","374.329,5",""
"2010","Vereinigtes Königreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.867.396,0",""
"2010","Island","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","10.332,4",""
"2010","Liechtenstein","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen",":",""
"2010","Norwegen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","323.760,9",""
"2010","Schweiz","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","441.086,0",""
"2010","Montenegro","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","3.125,1",""
"2010","Nordmazedonien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","7.108,3",""
"2010","Albanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","8.996,6",""
"2010","Serbien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","31.545,8",""
"2010","Türkei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","581.023,8",""
"2010","Bosnien und Herzegowina","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","12.968,9",""
"2010","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","4.402,0",""
"2011","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","13.235.225,0",""
"2011","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","11.322.767,1",""
"2011","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","12.168.229,5",""
"2011","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.747.755,1",""
"2011","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.799.207,6",""
"2011","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.596.017,9",""
"2011","Belgien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","375.967,8",""
"2011","Bulgarien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","41.252,6",""
"2011","Tschechien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","164.040,5",""
"2011","Dänemark","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","247.879,9",""
"2011","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.693.560,0",""
"2011","Estland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","16.829,2",""
"2011","Irland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","170.827,0",""
"2011","Griechenland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","207.028,9","p"
"2011","Spanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.063.763,0",""
"2011","Frankreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.058.369,0",""
"2011","Kroatien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","44.793,0",""
"2011","Italien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.648.755,8",""
"2011","Zypern","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","19.803,0",""
"2011","Lettland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","20.218,7",""
"2011","Litauen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","31.233,7",""
"2011","Luxemburg","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","43.164,6",""
"2011","Ungarn","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","101.552,7",""
"2011","Malta","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","6.833,6",""
"2011","Niederlande","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","650.359,0",""
"2011","Österreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","310.128,7",""
"2011","Polen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","380.241,7",""
"2011","Portugal","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","176.096,2",""
"2011","Rumänien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","131.925,4",""
"2011","Slowenien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","37.058,6",""
"2011","Slowakei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","71.214,4",""
"2011","Finnland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","197.998,0",""
"2011","Schweden","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","411.873,8",""
"2011","Vereinigtes Königreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.912.457,9",""
"2011","Island","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","10.889,0",""
"2011","Liechtenstein","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen",":",""
"2011","Norwegen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","358.339,5",""
"2011","Schweiz","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","504.020,8",""
"2011","Montenegro","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","3.264,8",""
"2011","Nordmazedonien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","7.544,2",""
"2011","Albanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.268,3",""
"2011","Serbien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","35.431,7",""
"2011","Türkei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","596.491,2",""
"2011","Bosnien und Herzegowina","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","13.411,8",""
"2011","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","4.814,5",""
"2012","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","13.501.734,0",""
"2012","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","11.390.025,6",""
"2012","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","12.422.241,5",""
"2012","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.781.526,3",""
"2012","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.836.956,2",""
"2012","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.627.129,7",""
"2012","Belgien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","386.174,7",""
"2012","Bulgarien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","42.033,5",""
"2012","Tschechien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","161.434,3",""
"2012","Dänemark","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","254.578,0",""
"2012","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.745.310,0",""
"2012","Estland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","18.050,7",""
"2012","Irland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","175.115,7",""
"2012","Griechenland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","191.203,9","p"
"2012","Spanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.031.099,0",""
"2012","Frankreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.088.804,0",""
"2012","Kroatien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","43.940,8",""
"2012","Italien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.624.358,7",""
"2012","Zypern","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","19.440,8",""
"2012","Lettland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","22.098,2",""
"2012","Litauen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","33.331,7",""
"2012","Luxemburg","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","44.112,1",""
"2012","Ungarn","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","99.733,6",""
"2012","Malta","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","7.167,6",""
"2012","Niederlande","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","652.966,0",""
"2012","Österreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","318.653,0",""
"2012","Polen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","389.376,8",""
"2012","Portugal","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","168.295,6",""
"2012","Rumänien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","133.147,1",""
"2012","Slowenien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","36.253,3",""
"2012","Slowakei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","73.483,8",""
"2012","Finnland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","201.037,0",""
"2012","Schweden","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","428.825,4",""
"2012","Vereinigtes Königreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.111.708,4",""
"2012","Island","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","11.458,5",""
"2012","Liechtenstein","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen",":",""
"2012","Norwegen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","396.523,5",""
"2012","Schweiz","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","519.716,3",""
"2012","Montenegro","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","3.181,5",""
"2012","Nordmazedonien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","7.584,8",""
"2012","Albanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.585,8",""
"2012","Serbien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","33.679,3",""
"2012","Türkei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","678.483,7",""
"2012","Bosnien und Herzegowina","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","13.407,5",""
"2012","Kosovo (gemäß der Resolution 1244/99 des Sicherheitsrates der Vereinten Nationen)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","5.058,8",""
"2013","Europäische Union - 28 Länder","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","13.615.090,5",""
"2013","Europäische Union - 27 Länder (ab 2019)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","11.516.664,8",""
"2013","Europäische Union - 15 Länder (1995-2004)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","12.517.879,4",""
"2013","Euroraum (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.876.002,7",""
"2013","Euroraum (19 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.933.833,1",""
"2013","Euroraum (12 Länder)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.720.519,9",""
"2013","Belgien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","392.880,0",""
"2013","Bulgarien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","41.885,4",""
"2013","Tschechien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","157.741,6",""
"2013","Dänemark","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","258.742,7",""
"2013","Deutschland (bis 1990 früheres Gebiet der BRD)","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.811.350,0",""
"2013","Estland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","19.033,4",""
"2013","Irland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","179.661,3",""
"2013","Griechenland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","180.654,3","p"
"2013","Spanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.020.348,0",""
"2013","Frankreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.117.189,0",""
"2013","Kroatien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","43.703,2",""
"2013","Italien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","1.612.751,3",""
"2013","Zypern","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","17.995,0",""
"2013","Lettland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","22.845,4",""
"2013","Litauen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","34.985,0",""
"2013","Luxemburg","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","46.499,6",""
"2013","Ungarn","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","102.032,3",""
"2013","Malta","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","7.647,3",""
"2013","Niederlande","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","660.463,0",""
"2013","Österreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","323.910,2",""
"2013","Polen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","394.733,8",""
"2013","Portugal","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","170.492,3",""
"2013","Rumänien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","143.801,6",""
"2013","Slowenien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","36.454,3",""
"2013","Slowakei","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","74.354,8",""
"2013","Finnland","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","204.321,0",""
"2013","Schweden","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","440.191,2",""
"2013","Vereinigtes Königreich","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","2.098.425,7",""
"2013","Island","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","12.064,1",""
"2013","Liechtenstein","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","4.812,4",""
"2013","Norwegen","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","393.408,7",""
"2013","Schweiz","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","518.379,5",""
"2013","Montenegro","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","3.362,5",""
"2013","Nordmazedonien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","8.149,6",""
"2013","Albanien","Jeweilige Preise, Millionen Euro","Bruttoinlandsprodukt zu Marktpreisen","9.625,4",""
